timestamp,transaction_id,branch,transaction_type,login_status,amount
2026-08-14 00:00:00,TXN100000,Downtown,Deposit,Success,706.29
2026-08-14 00:01:00,TXN100001,Westside,Withdrawal,Success,2956.56
2026-08-14 00:02:00,TXN100002,Downtown,Balance Check,Success,3014.07
2026-08-14 00:03:00,TXN100003,Westside,Bill Payment,Success,1110.0
2026-08-14 00:03:00,TXN100004,Uptown,Withdrawal,Success,3796.45
2026-08-14 00:04:00,TXN100005,Westside,Deposit,Success,1084.42
2026-08-14 00:04:00,TXN100006,Westside,Bill Payment,Success,492.61
2026-08-14 00:05:00,TXN100007,Westside,Bill Payment,Success,2685.78
2026-08-14 00:05:00,TXN100008,Suburb Hub,Balance Check,Success,1472.96
2026-08-14 00:05:00,TXN100009,Westside,Transfer,Success,2890.99
2026-08-14 00:06:00,TXN100010,Downtown,Transfer,Success,4926.26
2026-08-14 00:07:00,TXN100011,Eastside,Bill Payment,Success,3182.07
2026-08-14 00:07:00,TXN100012,Uptown,Deposit,Success,3354.17
2026-08-14 00:08:00,TXN100013,Westside,Deposit,Success,825.38
2026-08-14 00:09:00,TXN100014,Downtown,Balance Check,Success,1105.88
2026-08-14 00:09:00,TXN100015,Downtown,Withdrawal,Success,1152.95
2026-08-14 00:09:00,TXN100016,Downtown,Transfer,Success,340.28
2026-08-14 00:09:00,TXN100017,Eastside,Transfer,Success,1071.01
2026-08-14 00:10:00,TXN100018,Uptown,Bill Payment,Success,722.93
2026-08-14 00:10:00,TXN100019,Downtown,Balance Check,Success,1321.08
2026-08-14 00:10:00,TXN100020,Uptown,Bill Payment,Success,1816.36
2026-08-14 00:10:00,TXN100021,Suburb Hub,Bill Payment,Success,463.64
2026-08-14 00:11:00,TXN100022,Eastside,Deposit,Success,3962.48
2026-08-14 00:12:00,TXN100023,Uptown,Balance Check,Success,4980.65
2026-08-14 00:12:00,TXN100024,Uptown,Withdrawal,Success,3404.61
2026-08-14 00:12:00,TXN100025,Downtown,Transfer,Success,3845.31
2026-08-14 00:12:00,TXN100026,Downtown,Deposit,Success,2274.08
2026-08-14 00:13:00,TXN100027,Suburb Hub,Balance Check,Success,4564.01
2026-08-14 00:13:00,TXN100028,Eastside,Balance Check,Success,3048.76
2026-08-14 00:13:00,TXN100029,Downtown,Balance Check,Success,4767.96
2026-08-14 00:14:00,TXN100030,Uptown,Withdrawal,Success,4646.2
2026-08-14 00:15:00,TXN100031,Downtown,Balance Check,Success,4735.28
2026-08-14 00:15:00,TXN100032,Downtown,Withdrawal,Success,4890.14
2026-08-14 00:15:00,TXN100033,Uptown,Bill Payment,Success,4734.77
2026-08-14 00:16:00,TXN100034,Downtown,Bill Payment,Success,4822.17
