timestamp,branch,transaction_id,transaction_type,login_status
14/8/2026 9:00,Branch 13,T00001,Withdrawal,Failed
14/8/2026 9:00,Branch 10,T00002,Payment,Successful
14/8/2026 9:02,Branch 04,T00003,Payment,Successful
14/8/2026 9:02,Branch 09,T00004,Withdrawal,Successful
14/8/2026 9:03,Branch 11,T00005,Transfer,Successful
14/8/2026 9:03,Branch 13,T00006,Withdrawal,Successful
14/8/2026 9:04,Branch 03,T00007,Deposit,Successful
14/8/2026 9:04,Branch 02,T00008,Payment,Successful
14/8/2026 9:04,Branch 05,T00009,Transfer,Successful
14/8/2026 9:06,Branch 01,T00010,Withdrawal,Successful
14/8/2026 9:06,Branch 02,T00011,Withdrawal,Failed
14/8/2026 9:06,Branch 02,T00012,Transfer,Successful
14/8/2026 9:06,Branch 03,T00013,Deposit,Successful
14/8/2026 9:07,Branch 08,T00014,Transfer,Successful
14/8/2026 9:07,Branch 05,T00015,Payment,Successful
14/8/2026 9:08,Branch 04,T00016,Withdrawal,Successful
14/8/2026 9:10,Branch 13,T00017,Deposit,Successful
14/8/2026 9:10,Branch 12,T00018,Payment,Failed
14/8/2026 9:12,Branch 13,T00019,Deposit,Successful
14/8/2026 9:13,Branch 01,T00020,Withdrawal,Successful
14/8/2026 9:13,Branch 03,T00021,Deposit,Successful
14/8/2026 9:17,Branch 01,T00022,Transfer,Successful
14/8/2026 9:17,Branch 09,T00023,Transfer,Successful
14/8/2026 9:18,Branch 04,T00024,Payment,Successful
14/8/2026 9:19,Branch 01,T00025,Deposit,Failed
14/8/2026 9:19,Branch 10,T00026,Payment,Successful
14/8/2026 9:20,Branch 04,T00027,Payment,Successful
14/8/2026 9:21,Branch 15,T00028,Transfer,Successful
14/8/2026 9:21,Branch 08,T00029,Deposit,Successful
14/8/2026 9:21,Branch 14,T00030,Deposit,Successful
14/8/2026 9:23,Branch 03,T00031,Transfer,Successful
14/8/2026 9:24,Branch 02,T00032,Payment,Successful
14/8/2026 9:24,Branch 02,T00033,Payment,Failed
14/8/2026 9:25,Branch 07,T00034,Payment,Successful
14/8/2026 9:25,Branch 14,T00035,Payment,Successful
14/8/2026 9:26,Branch 04,T00036,Transfer,Successful
14/8/2026 9:26,Branch 09,T00037,Payment,Successful
14/8/2026 9:26,Branch 07,T00038,Withdrawal,Successful
14/8/2026 9:28,Branch 04,T00039,Payment,Successful
14/8/2026 9:28,Branch 02,T00040,Transfer,Successful
14/8/2026 9:30,Branch 02,T00041,Payment,Successful
14/8/2026 9:30,Branch 10,T00042,Transfer,Successful
14/8/2026 9:31,Branch 06,T00043,Withdrawal,Successful
14/8/2026 9:32,Branch 06,T00044,Payment,Successful
14/8/2026 9:32,Branch 15,T00045,Payment,Successful
14/8/2026 9:33,Branch 14,T00046,Withdrawal,Successful
14/8/2026 9:34,Branch 04,T00047,Transfer,Successful
14/8/2026 9:34,Branch 01,T00048,Transfer,Successful
14/8/2026 9:35,Branch 15,T00049,Transfer,Failed
14/8/2026 9:35,Branch 13,T00050,Payment,Successful
14/8/2026 9:35,Branch 03,T00051,Withdrawal,Successful
14/8/2026 9:36,Branch 13,T00052,Transfer,Failed
14/8/2026 9:37,Branch 07,T00053,Payment,Successful
14/8/2026 9:38,Branch 15,T00054,Deposit,Successful
14/8/2026 9:38,Branch 10,T00055,Withdrawal,Successful
14/8/2026 9:39,Branch 09,T00056,Withdrawal,Successful
14/8/2026 9:39,Branch 13,T00057,Transfer,Successful
14/8/2026 9:39,Branch 08,T00058,Transfer,Successful
14/8/2026 9:41,Branch 03,T00059,Transfer,Successful
14/8/2026 9:41,Branch 10,T00060,Deposit,Successful
14/8/2026 9:41,Branch 15,T00061,Payment,Successful
14/8/2026 9:42,Branch 06,T00062,Withdrawal,Successful
14/8/2026 9:43,Branch 08,T00063,Deposit,Successful
14/8/2026 9:43,Branch 09,T00064,Payment,Successful
14/8/2026 9:44,Branch 01,T00065,Payment,Successful
14/8/2026 9:44,Branch 13,T00066,Transfer,Successful
14/8/2026 9:44,Branch 12,T00067,Deposit,Successful
14/8/2026 9:44,Branch 08,T00068,Deposit,Successful
14/8/2026 9:46,Branch 05,T00069,Transfer,Successful
14/8/2026 9:46,Branch 15,T00070,Payment,Successful
14/8/2026 9:46,Branch 09,T00071,Deposit,Successful
14/8/2026 9:46,Branch 07,T00072,Payment,Successful
14/8/2026 9:46,Branch 04,T00073,Payment,Successful
